Magical Art;Find a print for sale of art featured in a Magic: The Gathering card
Pro-gamer;Test out/play a board game
Capitalism Really Popped Off;Visit the booth of one of official sponsors of Gen Con
Full Blockers;Grab a meal at the Block Party
Don't Diedrate;Drink a bottle of water
Crit Fizz;Check out Critical Hit Soda
Salute the Sun;Have a drink of the offical beer of GenCon
Mini Me;Paint a miniature
Toss A Coin;Donate to one of Gen Con's official charities
Get Me A Education;Attend one seminar/workshop
Adventure is Out There!;Explore a new ttrpg system
Con Save;Be the hero and save, using one of the coupons in the coupon book
Let's Table This Discussion;Find the most expensive gaming table
Pin Pals;Wear 2 pins
Digitize!;Join the Gen Con offical discord
Death and Taxes;Pay for Parking 
My Name is Alexander Hamilton;Visit the Alexandria's Gaming Library 
Model Behavior;Take your picture at the official gen con photo op
Sign Here Plz;Have the artist sign the art/card you bought today.
Living Art; Take a selfie/photo with a cosplayer
