Nostalgia Battle;Snap a pic of you trying out Neopet's Battlegrounds!
Vampiric Tutor;Book an appointment to donate blood at the blood drive
4 for 4;To celebrate the best 4 days of gaming, take 4 pictures of the same object from 4 different vendors
The real treasure was the friends we made along the way;Make a new friend or hang out in a group of at least 4 friends
Gotta catch 'em all;Find a complete dice set (d4, d6, d8, 2d10, d12, and d20) from 7 different vendors 
These Shoes Were Made For Walking;Walk over 10,000 steps
Carpetry;Find a nice, cozy spot on the carpet of the convention hall
In Character;Find an item that is reflective of one of your pcs
Let's Get Stoned;Find the cheapest lapis lazuli dice for sale
Base Set Charizard;Find the most expensive pokemon card for sale
