Quick Cosplay;Create a last minute cosplay using your outfit for the day and whatever you find in convention center
Creators and Clocks;Take a picture with a creater from dnd tiktok
Lucky;Roll a nat 20 on your new dice
Dice Jail;Roll a nat 1 on your new dice
Stick her? I barely know her!;Tag 3 players with a sticker
My Green Flag;Collect 5 flags on your badge
Life, The Universe, and Everything;42
Sticky Situation;Take a photo with Alphinous Goo
Horde of Dragons;Find 5 different instances of Genevieve across the convention
Move with the Bard;Attend each Roving Entertainment stage for at least 5 min during a live show
